,option,amount
0,option 3,0.4299999999999997
1,option 3,0.3000000000000007
2,option 3,0.7575000000000003
3,option 3,0.5124999999999993
4,option 3,0.054999999999999716
5,option 1,-0.24749999999999872
6,option 1,0.23499999999999943
7,option 1,-0.1899999999999995
8,option 1,0.2624999999999993
9,option 1,0.6349999999999998
10,option 1,0.17999999999999972
11,option 1,0.4250000000000007
12,option 1,-0.07249999999999979
13,option 1,1.5899999999999999
14,option 1,0.2524999999999977
15,option 1,0.509999999999998
16,option 1,0.7624999999999993
17,option 1,0.865000000000002
18,option 1,0.504999999999999
19,option 3,0.45250000000000057
20,option 3,-0.4350000000000005
21,option 3,0.5899999999999999
22,option 3,-0.317499999999999
23,option 3,0.3849999999999998
24,option 3,-0.15000000000000036
25,option 3,-0.22749999999999915
26,option 3,0.7374999999999989
27,option 3,0.07000000000000028
28,option 3,1.022499999999999
29,option 3,1.4175000000000022
30,option 3,-0.14749999999999908
31,option 1,-0.2350000000000012
32,option 1,0.29499999999999993
33,option 1,0.6300000000000008
34,option 3,0.07499999999999929
35,option 3,1.3399999999999999
36,option 3,0.5899999999999999
37,option 3,0.620000000000001
38,option 1,0.4800000000000022
39,option 1,-0.010000000000001563
40,option 1,-0.3600000000000012
41,option 1,1.0025000000000013
42,option 1,1.0724999999999998
43,option 1,1.2699999999999996
44,option 1,0.36750000000000327
45,option 1,0.3200000000000003
46,option 1,1.0399999999999991
47,option 1,0.8099999999999987
48,option 1,0.39000000000000057
49,option 1,0.8674999999999997
50,option 1,1.177500000000002
51,option 1,1.9324999999999974
52,option 1,2.224999999999998
53,option 1,1.6524999999999999
54,option 1,1.495000000000001
55,option 1,1.4799999999999969
56,option 1,1.3874999999999993
57,option 1,0.9024999999999999
58,option 1,1.677500000000002
59,option 1,2.3000000000000007
60,option 1,1.9499999999999993
61,option 1,2.7474999999999987
62,option 1,1.9075000000000024
63,option 1,1.9875000000000007
64,option 1,3.092500000000001
65,option 1,2.8825000000000003
66,option 1,2.477499999999999
67,option 1,1.5500000000000007
68,option 1,1.9749999999999979
69,option 1,2.7575000000000003
70,option 1,2.607499999999998
71,option 1,2.3949999999999996
72,option 1,1.9824999999999982
73,option 1,1.5300000000000011
74,option 1,1.9299999999999997
75,option 1,1.7950000000000017
76,option 3,2.405000000000001
77,option 3,-3.045
78,option 3,1.7725000000000009
79,option 3,3.3725000000000005
80,option 3,3.005000000000001
81,option 3,-0.45750000000000135
82,option 3,0.4125000000000014
83,option 3,-1.7649999999999988
84,option 3,1.7399999999999984
85,option 3,0.5500000000000007
86,option 3,1.7074999999999996
87,option 3,3.235000000000001
88,option 3,3.5374999999999996
89,option 3,3.1525
90,option 3,2.647499999999999
91,option 3,2.657499999999999
92,option 3,3.0150000000000006
93,option 3,1.9999999999999982
94,option 3,-1.6199999999999992
95,option 1,0.8499999999999979
96,option 1,2.2775
97,option 1,1.7200000000000024
98,option 1,2.1450000000000014
99,option 1,0.042500000000000426
100,option 1,2.2775
101,option 1,0.4975000000000023
102,option 1,2.2225
103,option 1,3.344999999999999
104,option 1,2.537499999999998
105,option 1,2.967500000000001
106,option 1,4.199999999999999
107,option 1,0.14750000000000085
108,option 1,4.2075
109,option 1,3.6950000000000003
110,option 1,3.9049999999999976
111,option 1,3.9750000000000014
112,option 1,6.057500000000001
113,option 1,2.4274999999999984
114,option 1,2.477499999999999
115,option 1,0.7200000000000024
116,option 1,3.4499999999999993
117,option 1,1.9024999999999999
118,option 1,0.3625000000000007
119,option 1,2.542500000000004
120,option 1,2.9975000000000023
121,option 1,3.164999999999999
122,option 1,5.077500000000004
123,option 1,7.207499999999996
124,option 1,6.945
125,option 1,5.524999999999999
126,option 1,7.100000000000001
127,option 1,7.105000000000004
128,option 1,7.647500000000001
129,option 1,0.1074999999999946
130,option 1,0.6774999999999984
131,option 3,3.892500000000002
132,option 3,0.2950000000000017
133,option 1,2.167499999999997
134,option 1,-1.2925000000000004
135,option 1,-0.8425000000000011
136,option 1,0.1875
137,option 1,1.6624999999999979
138,option 1,1.5024999999999977
139,option 1,3.289999999999999
140,option 1,0.005000000000002558
141,option 1,-0.9525000000000006
142,option 3,2.7024999999999935
143,option 1,0.12750000000000483
144,option 1,-2.3100000000000023
145,option 1,1.5799999999999983
146,option 1,3.155000000000001
147,option 1,0.5674999999999955
148,option 1,2.1825000000000045
149,option 1,2.727499999999999
150,option 1,5.1325
151,option 1,5.154999999999994
152,option 1,3.1325000000000003
153,option 1,2.594999999999999
154,option 1,3.102499999999999
155,option 1,1.9400000000000048
156,option 1,0.884999999999998
157,option 1,0.35250000000000625
158,option 1,4.107500000000002
159,option 1,3.1499999999999986
160,option 1,4.792499999999997
161,option 1,6.207500000000003
162,option 1,2.219999999999999
163,option 1,2.960000000000001
164,option 1,6.115000000000002
165,option 1,2.365000000000002
166,option 1,3.809999999999995
167,option 1,2.950000000000003
168,option 1,1.9450000000000003
169,option 1,-1.9149999999999991
170,option 3,3.229999999999997
171,option 3,1.0349999999999966
172,option 3,2.75
173,option 3,-2.979999999999997
174,option 3,-0.8799999999999955
175,option 1,0.9400000000000048
176,option 1,8.134999999999998
177,option 3,5.759999999999998
178,option 3,8.405000000000001
179,option 3,8.380000000000003
180,option 3,9.964999999999996
181,option 1,5.474999999999994
182,option 1,4.425000000000004
183,option 1,2.604999999999997
184,option 1,4.585000000000001
185,option 1,3.2250000000000014
186,option 1,0.22500000000000142
187,option 3,3.4650000000000034
188,option 3,4.699999999999996
189,option 3,5.045000000000002
190,option 3,1.7650000000000006
191,option 3,3.0700000000000003
192,option 3,0.15500000000000114
193,option 1,0.17500000000000426
194,option 1,-1.9450000000000003
195,option 1,1.1900000000000048
196,option 1,1.1550000000000011
197,option 1,1.7149999999999963
198,option 1,3.115000000000002
199,option 1,1.7299999999999969
200,option 1,2.1000000000000014
201,option 1,3.5700000000000003
202,option 1,0.9200000000000017
203,option 1,-0.10000000000000142
204,option 1,1.7349999999999994
205,option 1,3.8399999999999963
206,option 1,3.5600000000000023
207,option 1,3.0600000000000023
208,option 1,3.645000000000003
209,option 1,2.3100000000000023
210,option 1,2.5249999999999986
211,option 1,2.5249999999999986
212,option 1,2.6899999999999906
213,option 1,3.3700000000000045
214,option 1,2.219999999999999
215,option 1,2.1950000000000074
216,option 1,0.2849999999999966
217,option 1,1.2749999999999915
218,option 1,3.489999999999995
219,option 1,1.7999999999999972
220,option 1,5.664999999999992
221,option 1,4.030000000000001
222,option 1,3.1200000000000045
223,option 1,3.450000000000003
224,option 1,4.560000000000002
225,option 1,0.769999999999996
226,option 1,1.289999999999992
227,option 1,-4.2749999999999915
228,option 1,-1.3299999999999983
229,option 2,6.475000000000001
230,option 3,11.904999999999994
231,option 3,8.170000000000002
232,option 3,7.739999999999995
233,option 3,6.899999999999999
234,option 3,10.435000000000002
235,option 3,11.75
236,option 3,7.3999999999999915
237,option 1,8.594999999999999
238,option 1,7.689999999999998
239,option 1,6.920000000000002
240,option 1,8.189999999999998
241,option 1,9.435000000000002
242,option 1,14.325000000000003
243,option 1,11.840000000000003
244,option 1,10.91000000000001
245,option 1,6.730000000000004
246,option 1,2.5849999999999937
247,option 1,-1.1500000000000057
248,option 1,-1.0849999999999937
249,option 1,6.559999999999988
250,option 1,9.105000000000004
251,option 1,4.720000000000013
252,option 1,2.0
253,option 1,-3.529999999999987
254,option 1,-0.10999999999999943
255,option 3,-6.299999999999997
256,option 3,-5.089999999999996
257,option 3,-4.309999999999995
258,option 3,-5.18
259,option 3,6.259999999999998
260,option 3,1.4500000000000028
261,option 3,-2.030000000000001
262,option 3,0.21999999999999886
263,option 3,-1.6699999999999946
264,option 3,-4.369999999999997
265,option 3,-1.6000000000000014
266,option 3,-2.3699999999999974
267,option 3,2.9299999999999997
268,option 3,4.699999999999996
269,option 3,10.769999999999996
270,option 3,11.209999999999994
271,option 3,8.580000000000005
272,option 3,6.869999999999997
273,option 3,6.350000000000001
274,option 3,9.780000000000001
275,option 3,4.780000000000001
276,option 1,4.630000000000003
277,option 3,0.9099999999999966
278,option 1,4.619999999999997
279,option 3,3.1599999999999966
280,option 3,1.7199999999999989
281,option 3,3.799999999999997
282,option 3,2.3100000000000023
283,option 3,-4.98
284,option 3,2.1700000000000017
285,option 3,4.599999999999998
286,option 3,6.149999999999999
287,option 3,4.300000000000001
288,option 3,4.579999999999998
289,option 3,-1.1499999999999986
290,option 3,-0.509999999999998
291,option 3,1.0499999999999972
292,option 3,-2.25
293,option 3,1.0399999999999991
294,option 3,2.650000000000002
295,option 3,-0.6600000000000001
296,option 3,-1.1799999999999997
297,option 3,2.9300000000000033
298,option 3,2.240000000000002
299,option 3,-0.030000000000001137
300,option 3,-2.41
301,option 3,0.5700000000000003
302,option 3,3.780000000000001
303,option 3,4.989999999999998
304,option 3,1.0700000000000003
305,option 3,-0.8000000000000007
306,option 3,0.46000000000000085
307,option 1,3.8299999999999983
308,option 3,4.220000000000002
309,option 1,1.379999999999999
310,option 1,2.280000000000001
311,option 1,2.8399999999999963
312,option 1,2.289999999999999
313,option 1,2.029999999999994
314,option 3,1.7800000000000011
315,option 3,1.0899999999999999
316,option 3,-2.0100000000000016
317,option 3,0.3099999999999987
318,option 3,1.620000000000001
319,option 3,-3.0799999999999983
320,option 3,-2.799999999999997
321,option 3,-2.4700000000000024
322,option 3,-0.28999999999999915
323,option 3,3.0
324,option 3,1.4899999999999984
325,option 3,3.0100000000000016
326,option 3,1.8499999999999979
327,option 3,-0.6700000000000017
328,option 3,0.4299999999999997
329,option 3,-1.6000000000000014
330,option 3,1.610000000000003
331,option 3,2.1700000000000017
332,option 3,2.0100000000000016
333,option 3,3.1099999999999994
334,option 3,4.259999999999998
335,option 3,-0.8300000000000018
336,option 1,-0.8900000000000006
337,option 3,0.9600000000000009
338,option 1,1.1499999999999986
339,option 3,-0.5299999999999976
340,option 3,-0.36999999999999744
341,option 3,-0.9400000000000013
342,option 3,0.7300000000000004
343,option 3,0.8399999999999999
344,option 3,2.129999999999999
345,option 3,1.3999999999999986
346,option 3,1.2200000000000024
347,option 3,0.6900000000000013
348,option 3,0.5
349,option 3,-0.6400000000000006
350,option 1,1.5199999999999996
351,option 1,2.1400000000000006
352,option 1,-0.28999999999999915
353,option 1,1.0799999999999983
354,option 1,1.889999999999997
355,option 1,-0.75
356,option 1,1.0600000000000023
357,option 1,4.98
358,option 1,1.129999999999999
359,option 1,1.5399999999999991
360,option 3,0.09999999999999787
361,option 1,-0.879999999999999
362,option 1,0.3099999999999987
363,option 1,1.3299999999999983
364,option 1,1.8300000000000018
365,option 1,-0.370000000000001
366,option 1,0.259999999999998
367,option 1,1.0500000000000007
368,option 1,-0.3200000000000003
369,option 1,1.1400000000000006
370,option 1,1.120000000000001
371,option 1,2.9700000000000024
372,option 1,1.1199999999999974
373,option 1,-0.4800000000000004
374,option 1,-0.0799999999999983
375,option 1,0.2699999999999996
376,option 1,0.46999999999999886
377,option 1,0.34999999999999787
378,option 1,1.1400000000000006
379,option 1,0.14000000000000057
380,option 1,0.5500000000000007
381,option 1,1.0499999999999972
382,option 1,1.6300000000000026
383,option 1,-0.22000000000000242
384,option 1,0.33000000000000185
385,option 1,2.9099999999999966
386,option 1,4.640000000000001
387,option 1,-0.22999999999999687
388,option 1,0.5399999999999991
389,option 1,2.0700000000000003
390,option 1,0.8900000000000006
391,option 1,4.780000000000001
392,option 1,3.9399999999999977
393,option 1,1.25
394,option 1,-0.030000000000001137
395,option 1,2.8100000000000023
396,option 1,3.740000000000002
397,option 1,1.1799999999999997
398,option 1,2.299999999999997
399,option 1,1.0799999999999983
400,option 1,-0.3500000000000014
401,option 1,0.6300000000000026
402,option 3,-0.8300000000000054
403,option 3,-1.740000000000002
404,option 1,1.730000000000004
405,option 3,2.479999999999997
406,option 3,0.6900000000000048
407,option 1,0.37999999999999545
408,option 1,-0.14999999999999858
409,option 1,0.10999999999999943
410,option 1,1.3599999999999994
411,option 3,0.8500000000000014
412,option 3,-0.5300000000000011
413,option 3,1.0200000000000031
414,option 3,1.7899999999999991
415,option 3,0.5499999999999972
416,option 3,0.6200000000000045
417,option 3,0.8200000000000003
418,option 1,-0.46000000000000085
419,option 1,1.2600000000000051
420,option 1,-0.28999999999999915
421,option 3,6.309999999999995
422,option 3,6.369999999999997
423,option 3,3.75
424,option 3,4.470000000000006
425,option 3,2.8200000000000003
426,option 1,4.93
427,option 1,3.980000000000004
428,option 1,3.980000000000004
429,option 1,4.939999999999998
430,option 1,4.300000000000004
431,option 1,0.9500000000000028
432,option 1,1.1400000000000006
433,option 1,1.1099999999999994
434,option 1,1.6600000000000037
435,option 1,-0.0800000000000054
436,option 1,0.5800000000000054
437,option 1,1.0300000000000011
438,option 1,0.75
439,option 1,0.9699999999999989
440,option 1,0.240000000000002
441,option 1,0.060000000000002274
442,option 1,-0.030000000000001137
443,option 1,1.25
444,option 1,5.100000000000001
445,option 1,0.21999999999999886
446,option 1,0.6499999999999986
447,option 1,0.9100000000000037
